ticker,strategy,sharpe_ratio,max_drawdown_pct,total_return_pct,num_trades,win_rate_pct,profit_factor,expectancy
GC=F,2B Rule,0.35,-19.66,531.61,76,23.7,2.3,699.49
GC=F,2B Rule (scaled),0.42,-7.21,262.71,85,24.7,4.24,309.07
GC=F,Wavelet-2B,0.33,-30.04,384.11,231,31.6,1.84,158.07
GC=F,Wavelet-2B (scaled),0.46,-13.83,434.7,270,32.2,2.99,158.36
SI=F,2B Rule,0.42,-16.83,355.28,76,38.2,2.67,381.1
SI=F,2B Rule (scaled),0.42,-7.93,78.43,90,35.6,2.37,76.6
SI=F,Wavelet-2B,0.69,-16.88,22080.38,250,44.4,3.48,7552.8
SI=F,Wavelet-2B (scaled),0.62,-8.08,1096.3,285,41.8,3.42,362.23
CL=F,2B Rule,-0.41,-86.12,-83.12,334,18.3,0.63,-24.89
CL=F,2B Rule (scaled),-0.52,-52.88,-50.13,366,17.2,0.65,-13.7
CL=F,Wavelet-2B,0.13,-61.09,24.18,210,23.8,1.04,11.51
CL=F,Wavelet-2B (scaled),0.17,-33.4,26.68,246,22.0,1.14,10.84
NG=F,2B Rule,0.19,-51.81,74.1,316,22.5,1.02,5.13
NG=F,2B Rule (scaled),0.31,-22.11,103.91,344,23.5,1.26,21.77
NG=F,Wavelet-2B,0.16,-42.82,52.3,236,26.7,1.16,22.16
NG=F,Wavelet-2B (scaled),0.13,-20.1,20.45,281,24.6,1.15,7.28
HG=F,2B Rule,0.26,-51.48,118.79,110,22.7,1.24,111.21
HG=F,2B Rule (scaled),0.26,-27.22,111.31,126,22.2,1.77,89.24
HG=F,Wavelet-2B,0.41,-43.49,4666.44,273,39.2,2.18,1709.32
HG=F,Wavelet-2B (scaled),0.38,-15.98,1728.78,311,37.9,3.5,555.88
ZW=F,2B Rule,0.33,-51.42,985.67,261,21.8,1.23,361.91
ZW=F,2B Rule (scaled),0.26,-31.88,340.77,305,19.0,1.46,109.86
ZW=F,Wavelet-2B,0.42,-53.95,1084.79,280,30.0,1.22,358.47
ZW=F,Wavelet-2B (scaled),0.49,-32.02,315.25,346,30.3,1.48,88.22
ZC=F,2B Rule,-0.05,-78.96,-43.96,295,17.6,0.89,-14.9
ZC=F,2B Rule (scaled),-0.12,-44.56,-20.42,319,16.9,0.87,-6.61
ZC=F,Wavelet-2B,0.18,-52.44,58.05,282,27.7,1.08,20.58
ZC=F,Wavelet-2B (scaled),0.23,-25.75,40.92,336,27.4,1.17,12.18
ZS=F,2B Rule,0.07,-54.12,-3.81,255,20.0,0.99,-1.49
ZS=F,2B Rule (scaled),0.04,-27.11,1.11,280,19.3,1.01,0.4
ZS=F,Wavelet-2B,0.37,-46.98,2578.96,284,30.6,1.51,908.08
ZS=F,Wavelet-2B (scaled),0.39,-19.78,354.63,332,29.8,1.81,106.82
KC=F,2B Rule,-0.13,-64.67,-48.37,221,17.2,0.78,-22.31
KC=F,2B Rule (scaled),-0.18,-37.31,-23.45,263,16.0,0.79,-9.09
KC=F,Wavelet-2B,0.2,-39.3,74.17,267,27.0,1.23,26.6
KC=F,Wavelet-2B (scaled),0.26,-25.62,51.16,311,27.3,1.29,15.44
LE=F,2B Rule,0.28,-36.23,315.11,174,27.0,1.29,181.1
LE=F,2B Rule (scaled),0.26,-16.64,79.71,189,25.9,1.47,42.17
LE=F,Wavelet-2B,0.32,-67.39,352.69,268,29.5,1.12,131.6
LE=F,Wavelet-2B (scaled),0.34,-32.55,126.1,290,28.6,1.36,43.48
