engine_version,ticker,strategy,strategy_parameters,sample,start_date,end_date,source_sha256,repaired_range_fields,initial_balance,risk_pct,contract_multiplier,tick_size,commission_per_contract,slippage_ticks,max_leverage,sharpe_ratio,max_drawdown_pct,cagr_pct,total_return_pct,exposure_pct,num_trades,profit_factor,total_costs
0.2.0,GC=F,2B Rule,lookback=20;confirmation_days=3,development,2000-09-28,2017-12-29,81a839d8943fdd2f89c38f903dbaa893f676f2fe5f67c915c62eef46f080f1f3,464,100000.0,0.02,100,0.1,2.5,1,20.0,0.02,-78.08,-3.64,-47.24,21.4,244,0.82,6895.0
0.2.0,GC=F,2B Rule (scaled),lookback=20;confirmation_days=3,development,2000-09-28,2017-12-29,81a839d8943fdd2f89c38f903dbaa893f676f2fe5f67c915c62eef46f080f1f3,464,100000.0,0.02,100,0.1,2.5,1,20.0,-0.05,-37.93,-1.21,-18.9,14.2,185,0.83,4135.0
0.2.0,GC=F,2B Rule,lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,81a839d8943fdd2f89c38f903dbaa893f676f2fe5f67c915c62eef46f080f1f3,464,100000.0,0.02,100,0.1,2.5,1,20.0,0.34,-42.84,6.13,63.64,32.3,137,1.22,2520.0
0.2.0,GC=F,2B Rule (scaled),lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,81a839d8943fdd2f89c38f903dbaa893f676f2fe5f67c915c62eef46f080f1f3,464,100000.0,0.02,100,0.1,2.5,1,20.0,0.17,-35.27,1.45,12.61,7.9,54,1.35,835.0
0.2.0,GC=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-03-06,2017-12-29,81a839d8943fdd2f89c38f903dbaa893f676f2fe5f67c915c62eef46f080f1f3,464,100000.0,0.02,100,0.1,2.5,1,20.0,0.57,-32.29,9.93,391.22,45.8,168,1.77,6170.0
0.2.0,GC=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-03-06,2017-12-29,81a839d8943fdd2f89c38f903dbaa893f676f2fe5f67c915c62eef46f080f1f3,464,100000.0,0.02,100,0.1,2.5,1,20.0,0.31,-16.79,2.28,46.12,20.1,103,1.74,2110.0
0.2.0,GC=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,81a839d8943fdd2f89c38f903dbaa893f676f2fe5f67c915c62eef46f080f1f3,464,100000.0,0.02,100,0.1,2.5,1,20.0,0.02,-33.46,-0.75,-6.06,15.7,50,0.92,695.0
0.2.0,GC=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,81a839d8943fdd2f89c38f903dbaa893f676f2fe5f67c915c62eef46f080f1f3,464,100000.0,0.02,100,0.1,2.5,1,20.0,-0.32,-9.62,-1.11,-8.81,1.3,16,0.27,240.0
0.2.0,SI=F,2B Rule,lookback=20;confirmation_days=3,development,2000-09-28,2017-12-29,b6940f0a5f2740c8e5234ea1ff5940abaffcbf3f8b03242c630b1781cc46db5b,244,100000.0,0.02,5000,0.005,2.5,1,20.0,-0.23,-90.08,-12.15,-89.29,14.7,130,0.49,4420.0
0.2.0,SI=F,2B Rule (scaled),lookback=20;confirmation_days=3,development,2000-09-28,2017-12-29,b6940f0a5f2740c8e5234ea1ff5940abaffcbf3f8b03242c630b1781cc46db5b,244,100000.0,0.02,5000,0.005,2.5,1,20.0,-0.37,-64.79,-5.26,-60.62,12.1,128,0.42,2865.0
0.2.0,SI=F,2B Rule,lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,b6940f0a5f2740c8e5234ea1ff5940abaffcbf3f8b03242c630b1781cc46db5b,244,100000.0,0.02,5000,0.005,2.5,1,20.0,0.97,-39.98,43.4,1877.89,58.7,173,1.84,12015.0
0.2.0,SI=F,2B Rule (scaled),lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,b6940f0a5f2740c8e5234ea1ff5940abaffcbf3f8b03242c630b1781cc46db5b,244,100000.0,0.02,5000,0.005,2.5,1,20.0,0.51,-17.0,7.17,77.47,10.1,55,2.41,955.0
0.2.0,SI=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-03-06,2017-12-29,b6940f0a5f2740c8e5234ea1ff5940abaffcbf3f8b03242c630b1781cc46db5b,244,100000.0,0.02,5000,0.005,2.5,1,20.0,-0.06,-77.12,-4.49,-53.79,16.4,80,0.59,2440.0
0.2.0,SI=F,Wavelet-2B (scaled),denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,development,2001-03-06,2017-12-29,b6940f0a5f2740c8e5234ea1ff5940abaffcbf3f8b03242c630b1781cc46db5b,244,100000.0,0.02,5000,0.005,2.5,1,20.0,-0.33,-48.17,-3.21,-42.23,6.5,65,0.43,1805.0
0.2.0,SI=F,Wavelet-2B,denoise_window=128;min_prominence_atr=1.0;min_pivot_distance=5;pivot_confirm_bars=3;prominence_lookback=20;confirmation_days=3,evaluation,2018-01-02,2026-04-14,b6940f0a5f2740c8e5234ea1ff5940abaffcbf3f8b03242c630b1781cc46db5b,244,100000.0,0.02,5000,0.005,2.5,1,20.0,0.21,-34.81,2.23,20.06,18.9,58,1.18,1240.0
